ID	NAME	logFC: WT NaCl response	FDR: WT NaCl response	logFC: msn24 mutant NaCl response	FDR: msn24 mutant NaCl response	logFC: yap1 mutant NaCl response	FDR: yap1 mutant NaCl response	logFC: skn7 mutant NaCl response	FDR: skn7 mutant NaCl response	logFC: WT EtOH response	FDR: WT EtOH response	logFC:  msn24 mutant EtOH response	FDR:  msn24 mutan  EtOH response	logFC:  yap1 mutant EtOH response	FDR:  yap1 mutant EtOH response	logFC:  skn7 mutant EtOH response	FDR:  skn7 mutant EtOH response	logFC: WT v msn24 mutant: NaCl response	FDR: WT v msn24 mutant: NaCl response	logFC: WT v yap1 mutant: NaCl response	FDR: WT v yap1 mutant: NaCl response	logFC: WT v skn7 mutant: NaCl response	FDR: WT v skn7 mutant NaCl response	logFC: WT v msn24 mutant: EtOH response	FDR: WT v msn24 mutant: EtOH response	logFC: WT v yap1 mutant: EtOH response	FDR: WT v yap1 mutant: EtOH response	logFC: WT v skn7 mutant: EtOH response	FDR: WT v skn7 mutant: EtOH response
YPL267W	ACM1          Pseudosubstrate inhibitor of the APC/C	-0.3527669	0.13928889	-0.904408934	0.000476443	-0.35284606	0.137372997	-0.948219881	0.000224372	-1.393776663	1.29E-06	-1.201680473	8.01E-06	-1.864561774	2.27E-09	-1.445335526	2.03E-07	-0.551641999	0.365308897	-7.91E-05	1	-0.595452947	0.154473946	0.192096191	0.732639477	-0.47078511	0.4637337	-0.051558862	0.951238696
YPL268W	PLC1          Phospholipase C	-0.5553419	0.00016419	-0.465741033	0.001310432	-0.554564253	0.000218402	-0.388242881	0.00798734	0.625789624	1.74E-05	0.392087668	0.004647055	0.321953418	0.019309248	0.717545336	1.84E-06	0.089600835	0.889846418	0.000777616	0.999754133	0.167098987	0.537272358	-0.233701956	0.37078993	-0.303836206	0.33355429	0.091755712	0.817082454
YPL269W	KAR9          Spindle positioning factor	0.16774345	0.19910248	0.187209623	0.153997817	0.66412084	4.45E-06	0.430669153	0.001417344	-0.323880217	0.016355016	-0.102381264	0.443228004	-0.103719838	0.447223492	-0.056848666	0.673303158	0.019466168	0.980005298	0.496377385	0.031964498	0.262925698	0.256170954	0.221498953	0.387888888	0.220160379	0.50572783	0.267031552	0.381389381
YPL270W	MDL2          Mitochondrial inner membrane half-type ABC transporter	0.91146187	8.24E-11	0.736651142	1.89E-08	1.136019339	1.73E-13	0.86990666	3.96E-10	0.333725511	0.003314532	0.052721363	0.651730997	0.362167211	0.001549418	0.247588917	0.026264383	-0.174810724	0.592640377	0.224557472	0.29128617	-0.041555207	0.866495774	-0.281004148	0.163142795	0.0284417	0.94245625	-0.086136594	0.783520409
YPL271W	ATP15          Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase	0.71700499	1.38E-05	0.794055969	3.45E-06	1.689079617	2.33E-14	0.932886822	1.85E-07	0.387603831	0.012007514	-0.126858291	0.4274572	0.855078688	7.80E-07	0.126466932	0.424462683	0.077050975	0.91038701	0.972074624	0.000333474	0.215881829	0.452176966	-0.514462122	0.055407589	0.467474856	0.15686378	-0.261136899	0.487942543
YPL272C	PBI1          Putative protein of unknown function	1.60914702	6.75E-13	1.47270217	2.12E-11	1.11217674	5.58E-08	0.93966262	1.16E-06	1.55063144	1.84E-12	1.007280896	2.48E-07	1.531443668	7.03E-12	1.170863686	4.60E-09	-0.136444849	0.839899025	-0.496970279	0.112750903	-0.669484399	0.018481709	-0.543350545	0.066754947	-0.019187773	0.97886872	-0.379767754	0.312032734
YPL273W	SAM4          S-adenosylmethionine-homocysteine methyltransferase	-0.3322248	0.00064466	-0.615514454	2.35E-08	0.054409942	0.57424823	0.057450072	0.561030738	-1.236298963	3.21E-17	-0.713619605	6.33E-10	-1.585198545	6.96E-21	-1.37814309	9.42E-19	-0.283289632	0.173381446	0.386634765	0.018848647	0.389674895	0.013449298	0.522679358	0.000971115	-0.348899582	0.06835612	-0.141844127	0.543628813
YPL274W	SAM3          High-affinity S-adenosylmethionine permease	-1.2010087	3.37E-08	-1.140751781	1.10E-07	0.047377197	0.807228971	-0.363936536	0.05300226	-2.828677555	1.88E-18	-1.092300971	2.48E-07	-0.883413213	1.11E-05	-0.68326979	0.000381703	0.060256909	0.950924898	1.248385887	0.00015713	0.837072154	0.007029844	1.736376584	2.82E-07	1.945264342	2.23E-07	2.145407765	1.43E-08
YPL277C	YPL277C          Putative protein of unknown function	1.01942956	0.00629897	0.863370737	0.012262282	1.027013461	0.010194592	0.276612669	0.494992579	1.715915918	7.83E-06	0.86592911	0.010829071	2.159806143	1.45E-07	2.542123622	5.41E-10	-0.156058823	0.921735154	0.007583901	0.996142429	-0.742816891	0.274513443	-0.849986808	0.177682407	0.443890225	0.65928742	0.826207704	0.292288351
YPL278C	YPL278C          Putative protein of unknown function	0.63723157	0.41276437	2.129034027	0.023654391	0.790374999	0.40835658	1.012969073	0.290087289	1.236112374	0.093767795	2.591921938	0.00385881	2.492731079	0.001804347	3.318003591	4.16E-05	1.491802456	0.548511798	0.153143428	0.942499006	0.375737502	0.838519605	1.355809564	0.413149577	1.256618705	0.52395684	2.081891217	0.218889928
