ID	NAME	logFC: WT NaCl response	FDR: WT NaCl response	logFC: msn24 mutant NaCl response	FDR: msn24 mutant NaCl response	logFC: yap1 mutant NaCl response	FDR: yap1 mutant NaCl response	logFC: skn7 mutant NaCl response	FDR: skn7 mutant NaCl response	logFC: WT EtOH response	FDR: WT EtOH response	logFC:  msn24 mutant EtOH response	FDR:  msn24 mutan  EtOH response	logFC:  yap1 mutant EtOH response	FDR:  yap1 mutant EtOH response	logFC:  skn7 mutant EtOH response	FDR:  skn7 mutant EtOH response	logFC: WT v msn24 mutant: NaCl response	FDR: WT v msn24 mutant: NaCl response	logFC: WT v yap1 mutant: NaCl response	FDR: WT v yap1 mutant: NaCl response	logFC: WT v skn7 mutant: NaCl response	FDR: WT v skn7 mutant NaCl response	logFC: WT v msn24 mutant: EtOH response	FDR: WT v msn24 mutant: EtOH response	logFC: WT v yap1 mutant: EtOH response	FDR: WT v yap1 mutant: EtOH response	logFC: WT v skn7 mutant: EtOH response	FDR: WT v skn7 mutant: EtOH response
YAL001C	TFC3          Subunit of RNA polymerase III transcription initiation factor complex	0.63923697	3.67E-07	0.547595443	7.17E-06	0.556043959	6.87E-06	0.572845219	4.51E-06	0.897492102	9.94E-11	0.791730358	2.64E-09	0.885382466	1.67E-10	0.966236413	1.25E-11	-0.09164153	0.832819898	-0.083193014	0.74239849	-0.066391754	0.77825269	-0.105761744	0.650739408	-0.012109636	0.97938135	0.068744311	0.835802693
YAL002W	VPS8          Membrane-binding component of the CORVET complex	0.56154682	2.26E-07	0.457785892	1.15E-05	0.283529095	0.004403696	0.270074542	0.006489716	1.463618928	8.94E-20	1.279686608	1.44E-17	1.501696702	4.20E-20	1.402581463	3.85E-19	-0.103760924	0.758657995	-0.278017721	0.113128824	-0.291472275	0.074028174	-0.183932321	0.297089511	0.038077773	0.9062198	-0.061037466	0.826977402
YAL003W	EFB1          Translation elongation factor 1 beta	-1.7657425	4.55E-23	-1.920213249	4.66E-24	-1.357406588	3.77E-19	-1.463677607	7.79E-20	-0.689327954	2.97E-10	-0.542857866	1.05E-07	-0.69883091	2.03E-10	-0.833206996	1.57E-12	-0.15447076	0.535595728	0.408335901	0.008557632	0.302064882	0.044548236	0.146470088	0.395057534	-0.009502956	0.97979088	-0.143879043	0.506390195
YAL004W	NA          NA	-0.1376008	0.87105322	0.199479571	0.813066754	-0.860175917	0.328712669	0.529063457	0.562230724	2.519620111	0.000809999	0.961326938	0.203299289	1.654416418	0.021925013	1.394582913	0.084212124	0.337080377	0.928292214	-0.722575111	0.696158562	0.666664263	0.698918894	-1.558293173	0.254880311	-0.865203693	0.66551009	-1.125037197	0.564520952
YAL005C	SSA1          ATPase involved in protein folding and NLS-directed nuclear transport	3.33464149	2.55E-21	1.66479106	3.08E-12	2.422008585	5.05E-17	2.094851772	7.88E-15	5.199852204	1.44E-27	3.212061811	5.61E-21	4.637934425	3.73E-26	4.25983159	6.12E-25	-1.669850427	3.74E-07	-0.912632903	0.00312106	-1.239789715	5.22E-05	-1.987790393	3.25E-09	-0.561917779	0.13093071	-0.940020613	0.00581638
YAL007C	ERP2          Member of the p24 family involved in ER to Golgi transport	-0.4867298	4.80E-07	-0.465153695	1.27E-06	-0.079782158	0.364006399	-0.180624149	0.039129975	1.154436205	9.65E-18	1.251603961	9.55E-19	1.123759142	2.59E-17	0.963387955	4.38E-15	0.021576076	0.963736473	0.406947613	0.00657673	0.306105622	0.034652949	0.097167756	0.578186577	-0.030677064	0.91951753	-0.19104825	0.316551856
YAL008W	FUN14          Integral mitochondrial outer membrane (MOM) protein	1.30298192	1.02E-10	1.335465896	4.73E-10	1.658731887	2.11E-13	1.274648065	4.02E-10	2.247015777	1.51E-18	1.449168741	2.98E-11	2.644757519	7.94E-21	2.093756166	2.03E-17	0.03248398	0.97347439	0.355749971	0.248702798	-0.028333851	0.93961606	-0.797847036	0.004312967	0.397741742	0.2682834	-0.153259611	0.719404947
YAL009W	SPO7          Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme	0.40692203	0.0006788	0.59150974	4.38E-06	0.474229021	0.000131265	0.377940481	0.001711728	0.501549389	4.45E-05	0.588647906	4.04E-06	0.313712015	0.008076988	0.239073958	0.038633885	0.184587715	0.585965767	0.067306996	0.803327991	-0.028981545	0.910218815	0.087098517	0.734149892	-0.187837374	0.51352903	-0.26247543	0.309220442
YAL010C	MDM10          Subunit of both the ERMES and the SAM complex	-0.3458585	0.01365191	-0.408774385	0.004346449	-0.563590182	0.000160794	-0.139171404	0.324618743	0.391434161	0.004428011	0.440393652	0.001438948	0.406511629	0.003004769	0.446291879	0.001085255	-0.062915904	0.920162355	-0.217731701	0.437459561	0.206687077	0.418770747	0.048959492	0.878383258	0.015077468	0.97886872	0.054857718	0.900423969
YAL011W	SWC3          Protein of unknown function	-0.5673147	0.00164885	-0.724668628	0.000106653	-0.649249949	0.000413633	-0.648973478	0.000416163	-1.170498715	3.19E-08	-1.147121033	2.96E-08	-1.569689822	2.52E-11	-1.013967225	2.79E-07	-0.157353946	0.816488629	-0.081935267	0.846401543	-0.081658797	0.829840254	0.023377682	0.957234278	-0.399191107	0.34899162	0.15653149	0.752181654
YAL012W	CYS3          Cystathionine gamma-lyase	-0.642116	0.00035939	-0.623357388	0.000512881	0.341248557	0.049114075	-0.347578056	0.047863484	-0.936754756	1.05E-06	-0.869348773	4.59E-06	-0.547364563	0.001864505	-0.627396295	0.000457254	0.018758622	0.983924001	0.983364567	0.001086926	0.294537954	0.348062555	0.067405983	0.868779754	0.389390193	0.32115476	0.309358461	0.45279764
YAL013W	DEP1          Component of the Rpd3L histone deacetylase complex	-0.0198174	0.91110079	0.166699292	0.331250426	0.296086682	0.082335563	0.16608648	0.334220116	-0.468324788	0.007497933	-0.521354398	0.002993424	-0.374030269	0.030037228	-0.403267739	0.017243274	0.186516713	0.753475596	0.315904103	0.333809509	0.185903901	0.568213568	-0.05302961	0.896369086	0.094294519	0.86749866	0.065057049	0.906370181
YAL014C	SYN8          Endosomal SNARE related to mammalian syntaxin 8	-0.23487	0.05978348	0.005612412	0.96739353	-0.146903505	0.259143561	-0.305055688	0.017159711	0.010762492	0.935223455	0.209539467	0.095103756	0.266361525	0.03364234	-0.059385379	0.641274838	0.240482426	0.479361033	0.087966508	0.758827891	-0.070185674	0.791142867	0.198776975	0.411397024	0.255599033	0.38300205	-0.070147871	0.851155889
YAL015C	NTG1          DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase	-0.0521948	0.73645276	0.201537663	0.187096583	0.010109489	0.950080641	-0.066910193	0.678026006	-0.947836373	1.30E-07	-0.898192321	4.03E-07	-0.906880281	4.27E-07	-0.610600457	0.000134972	0.253732476	0.553924126	0.062304302	0.864106048	-0.01471538	0.966543965	0.049644051	0.894427467	0.040956092	0.94179423	0.337235916	0.335216625
YAL016C-A	NA          NA	3.81964	3.24E-06	2.567912249	5.10E-05	0.570720777	0.481580708	0.268006829	0.765155973	2.601938453	0.002411205	-0.705261967	0.371235847	0.826778059	0.273800702	-0.157271674	0.860907568	-1.251727749	0.552881048	-3.248919221	0.025203271	-3.551633169	0.01251692	-3.30720042	0.017868325	-1.775160394	0.35954103	-2.759210127	0.125981715
YAL016W	TPD3          Regulatory subunit A of the heterotrimeric PP2A complex	0.44875931	5.32E-06	0.509847439	5.38E-07	0.229437776	0.012450402	0.229730134	0.013292073	0.847076899	1.36E-12	0.652275435	2.13E-09	0.940086654	5.65E-14	0.800004222	7.68E-12	0.061088132	0.87746998	-0.21932153	0.190144916	-0.219029173	0.164420334	-0.194801464	0.239539652	0.093009755	0.71561004	-0.047072677	0.863795638
YAL017W	PSK1          PAS domain-containing serine/threonine protein kinase	1.30923956	6.37E-18	1.085989988	3.96E-15	1.604668397	8.65E-21	1.111085241	3.33E-15	2.512550728	2.38E-28	1.727865911	3.23E-22	2.712956054	1.61E-29	2.390769	1.46E-27	-0.223249573	0.337847952	0.295428837	0.081906229	-0.198154319	0.236804531	-0.784684818	1.82E-06	0.200405326	0.35427131	-0.121781728	0.609886169
YAL019W	FUN30          Snf2p family member with ATP-dependent chromatin remodeling activity	-0.6406808	6.16E-05	-1.160613518	6.54E-10	-1.000896819	2.28E-08	-0.654456742	5.51E-05	-0.952308257	5.32E-08	-0.939170759	6.93E-08	-0.997107781	1.82E-08	-0.763882111	3.39E-06	-0.519932691	0.102882267	-0.360215993	0.199709671	-0.013775915	0.968491102	0.013137498	0.971053588	-0.044799524	0.93302431	0.188426146	0.626876594
YAL020C	ATS1          Protein required for modification of wobble nucleosides in tRNA	1.1367369	3.38E-07	1.151051583	3.67E-07	1.129005331	5.99E-07	1.056698584	2.06E-06	-0.678534139	0.001516702	-0.968670059	2.28E-05	-0.314046354	0.130762338	-0.734688929	0.000636993	0.014314685	0.987986421	-0.007731567	0.9913764	-0.080038315	0.854013897	-0.29013592	0.490507131	0.364487785	0.47324419	-0.05615479	0.933791486
YAL021C	CCR4          Component of the CCR4-NOT transcriptional complex	0.09491419	0.2605148	0.02677547	0.76384997	0.156932883	0.06438147	0.165330457	0.053743207	-0.000650035	0.99523668	0.052527811	0.545215399	0.072709381	0.389984097	-0.066620394	0.435036516	-0.068138719	0.836935933	0.062018693	0.74359541	0.070416268	0.677961804	0.053177847	0.776815249	0.073359417	0.7638894	-0.065970359	0.78230692
YAL022C	"FUN26          High affinity, broad selectivity, nucleoside/nucleobase transporter"	0.53512599	9.22E-05	0.593717673	2.39E-05	1.038458031	2.48E-10	0.663591912	4.53E-06	0.083318957	0.525929911	-0.023394928	0.866917843	0.319495931	0.016059703	-0.000263846	0.998607138	0.058591687	0.920088942	0.503332046	0.027943777	0.128465927	0.613985966	-0.106713885	0.705989873	0.236176974	0.45821426	-0.083582803	0.828657942
YAL023C	PMT2          Protein O-mannosyltransferase of the ER membrane	0.1707232	0.16139884	0.076278602	0.544538137	0.764615017	6.80E-08	0.626033379	4.07E-06	0.738002155	1.14E-07	0.773393368	4.89E-08	0.823376239	9.89E-09	0.649568839	1.52E-06	-0.094444599	0.851014194	0.593891817	0.005154385	0.455310179	0.026500436	0.035391214	0.902336652	0.085374084	0.8188551	-0.088433316	0.800177411
YAL024C	LTE1          Protein similar to GDP/GTP exchange factors	-0.2077139	0.0480329	-0.134178415	0.207422411	-0.162573297	0.127725616	-0.129296362	0.226037519	-0.422607224	0.000140983	-0.0679417	0.528544971	-0.393085844	0.000362162	-0.269276231	0.010417113	0.073535517	0.871484725	0.045140635	0.859635797	0.07841757	0.715319044	0.354665523	0.05138061	0.029521379	0.93714133	0.153330993	0.557199228
YAL025C	MAK16          Essential nuclear protein	-2.2780741	5.30E-16	-2.730321631	3.15E-18	-2.733983396	4.28E-18	-2.201006048	3.33E-15	-3.75094088	2.96E-22	-3.178840726	1.90E-20	-4.163502501	1.83E-23	-3.852624	7.51E-23	-0.452247544	0.31901991	-0.455909309	0.186488118	0.077068039	0.848041035	0.572100155	0.097327076	-0.41256162	0.40018628	-0.10168312	0.86838367
YAL026C	DRS2          Trans-golgi network aminophospholipid translocase (flippase)	0.65661304	1.44E-10	0.404663004	6.49E-06	0.685028621	5.65E-11	0.671642889	1.16E-10	0.118231971	0.14923821	0.242299811	0.00385881	0.155364085	0.058214824	0.188375792	0.021886778	-0.251950041	0.162891984	0.028415576	0.887356726	0.015029844	0.934482015	0.124067841	0.44218737	0.037132114	0.89164509	0.070143821	0.758903072
YAL026C-A	NA          NA	0.35184462	0.0825878	0.123860057	0.558968283	0.329115525	0.112410267	0.295518976	0.141519713	0.082515474	0.696515712	0.10985365	0.601421051	0.088093654	0.679967346	-0.076041623	0.709683386	-0.227984566	0.745950237	-0.022729098	0.965208028	-0.056325647	0.89745348	0.027338175	0.956466565	0.00557818	0.99435666	-0.158557097	0.78230692
YAL027W	SAW1          5'- and 3'-flap DNA binding protein	-0.0867304	0.72369594	-0.286855813	0.242299615	-0.942820438	0.00039263	-0.515464264	0.040240507	0.564280739	0.015314151	0.16568725	0.487945592	0.299580517	0.196771692	0.576974151	0.012408287	-0.200125385	0.828947508	-0.856090009	0.050685756	-0.428733836	0.328340996	-0.398593488	0.372821917	-0.264700222	0.6802581	0.012693412	0.986326665
YAL028W	FRT2          Tail-anchored ER membrane protein of unknown function	1.49935418	5.30E-08	0.93114332	0.00057913	0.828086883	0.000256068	0.434111583	0.04637539	3.71972428	1.68E-21	2.165370226	2.22E-12	3.266089958	6.26E-21	3.026068637	4.96E-20	-0.568210864	0.376159736	-0.6712673	0.108303129	-1.065242601	0.005502388	-1.554354054	0.000144545	-0.453634321	0.361955	-0.693655642	0.113603767
YAL029C	MYO4          Type V myosin motor involved in actin-based transport of cargos	-0.3906156	4.59E-07	-0.231907322	0.001117478	-0.519555659	8.19E-10	-0.062016591	0.384055721	-0.364039982	1.62E-06	0.043345385	0.540620608	-0.448729996	2.10E-08	-0.243136103	0.000624424	0.158708277	0.354038575	-0.12894006	0.333006252	0.328599009	0.004589315	0.407385368	0.000450271	-0.084690014	0.64993054	0.120903879	0.463542572
YAL030W	SNC1          Vesicle membrane receptor protein (v-SNARE)	1.02106831	2.28E-08	1.017459107	3.67E-08	1.171621914	1.51E-09	0.914411644	4.64E-07	1.012782794	2.57E-08	0.804794906	3.72E-06	1.338466261	2.81E-11	1.045690505	1.45E-08	-0.003609206	0.996468114	0.150553601	0.655566397	-0.106656669	0.744393473	-0.207987888	0.510366356	0.325683467	0.37427598	0.032907711	0.949008234
YAL031C	GIP4          Cytoplasmic protein that regulates protein phosphatase 1 Glc7p	0.82811649	4.84E-11	0.928817293	2.44E-12	1.021356082	1.83E-13	0.718537216	3.99E-09	1.013355996	1.00E-13	0.873390963	1.14E-11	1.453313905	6.56E-19	1.199608903	4.17E-16	0.100700798	0.777873441	0.193239587	0.316009757	-0.109579279	0.572163048	-0.139965032	0.479860858	0.439957909	0.02571128	0.186252907	0.426926204
YAL032C	PRP45          Protein required for pre-mRNA splicing	-0.041906	0.74140004	-0.005714706	0.966428674	0.119885959	0.348258151	-0.098632564	0.443844548	-0.026586256	0.836155814	-0.101431042	0.418549403	0.191054867	0.12203593	0.046126191	0.713907782	0.036191268	0.958340267	0.161791933	0.524144732	-0.05672659	0.832080844	-0.074844786	0.785763694	0.217641123	0.47139563	0.072712446	0.844627394
YAL033W	POP5          Subunit of both RNase MRP and nuclear RNase P	-0.8813565	4.90E-07	-1.003059191	5.56E-08	-0.943830647	2.56E-07	-0.866492299	1.04E-06	-1.323857646	5.65E-11	-1.226845431	3.79E-10	-1.399157472	2.25E-11	-1.333955462	3.45E-11	-0.121702672	0.851060182	-0.062474129	0.871371078	0.014864219	0.967491346	0.097012215	0.785763694	-0.075299826	0.88714839	-0.010097816	0.98483486
YAL034C	FUN19          Non-essential protein of unknown function	1.3666006	8.96E-17	0.643912258	2.80E-07	1.013323418	2.98E-12	0.564623747	3.49E-06	1.336919757	1.34E-16	0.04584142	0.695709697	2.065318828	3.22E-23	1.16458544	1.38E-14	-0.722688341	0.000220972	-0.353277182	0.067417085	-0.801976852	1.94E-05	-1.291078337	7.28E-10	0.728399071	0.00034445	-0.172334317	0.50826895
YAL034W-A	MTW1          Essential component of the MIND kinetochore complex	-0.7473728	0.00729703	-0.856599719	0.002307484	-0.626461633	0.025515276	-0.702396798	0.010588544	-0.885525804	0.001964833	-0.292119307	0.271203466	-0.873796463	0.002255377	-0.775251876	0.003983621	-0.109226934	0.934190273	0.120911153	0.855104971	0.044975988	0.941456703	0.593406497	0.232099062	0.011729341	0.9936944	0.110273928	0.901063672
YAL035W	FUN12          Translation initiation factor eIF5B	-0.6595204	1.69E-07	-0.911386249	7.81E-11	-0.609823579	8.71E-07	-0.322835012	0.004610167	-1.799655217	2.90E-20	-1.353128822	5.72E-16	-1.663966971	4.00E-19	-1.376898951	2.40E-16	-0.251865867	0.359570945	0.049696803	0.851355906	0.336685371	0.072698404	0.446526394	0.017441657	0.135688245	0.65182811	0.422756266	0.059137892
YAL036C	RBG1          Member of the DRG family of GTP-binding proteins	-0.8974004	2.37E-16	-1.007418694	6.42E-18	-0.927290973	1.08E-16	-0.365576071	4.73E-06	-3.272001098	2.17E-35	-2.498137906	1.45E-31	-3.174430576	5.02E-35	-3.013441237	2.53E-34	-0.110018309	0.612127644	-0.029890588	0.864106048	0.531824314	2.13E-05	0.773863192	2.46E-08	0.097570522	0.6360616	0.258559861	0.098006387
YAL037C-B	NA          NA	-0.865745	0.06556226	-0.052505804	0.917928409	-0.267173032	0.598052858	0.722119797	0.148123509	0.686568889	0.121229004	0.340617128	0.467489415	1.029461464	0.025457459	0.644109935	0.18668316	0.813239147	0.537241361	0.598571919	0.548188035	1.587864747	0.05024643	-0.34595176	0.727312389	0.342892575	0.80079107	-0.042458953	0.979922619
YAL037W	YAL037W          Putative protein of unknown function	-1.0555307	0.03225375	0.812814104	0.074290404	-0.722273241	0.171452605	-0.615985876	0.164926051	1.984522007	2.92E-06	2.615403664	2.54E-08	1.41345496	0.001015191	1.085416931	0.004327496	1.868344758	0.04695273	0.333257413	0.777239442	0.439544777	0.630587137	0.630881657	0.428876286	-0.571067047	0.59655245	-0.899105077	0.289950974
YAL038W	CDC19          Pyruvate kinase	-0.6319856	1.24E-06	-0.533317946	2.34E-05	-0.195565152	0.096801372	-0.347468519	0.004079087	0.718293302	8.44E-08	0.605404885	2.84E-06	0.814007734	4.77E-09	0.536112944	2.02E-05	0.098667693	0.824278848	0.436420487	0.034729176	0.28451712	0.162949526	-0.112888417	0.646868102	0.095714432	0.77928744	-0.182180358	0.525813157
YAL039C	CYC3          Cytochrome c heme lyase (holocytochrome c synthase)	-0.7467758	7.32E-06	-0.64254411	9.79E-05	-0.020323636	0.901344576	-0.720737848	2.12E-05	-1.104542546	3.35E-09	-1.158466351	1.30E-09	-0.504227684	0.001577305	-0.653616527	5.74E-05	0.104231704	0.877645572	0.726452178	0.006518038	0.026037966	0.941262118	-0.053923805	0.884906825	0.600314862	0.05741769	0.450926019	0.165226054
YAL040C	CLN3          G1 cyclin involved in cell cycle progression	0.0225057	0.85132063	-0.542897783	1.63E-05	0.299432796	0.011133817	0.015715595	0.904281446	0.908310478	2.16E-10	-0.137565194	0.242872702	1.399125027	5.84E-16	0.860152642	9.25E-10	-0.56540348	0.009365717	0.276927098	0.199182689	-0.006790103	0.979019224	-1.045875672	4.00E-07	0.490814549	0.0328966	-0.048157836	0.897040913
YAL041W	CDC24          Guanine nucleotide exchange factor (GEF) for Cdc42p	-0.3891465	1.60E-06	-0.298591046	0.000118072	-0.34155567	1.81E-05	-0.158619502	0.033193113	-0.264475269	0.000479644	0.054812059	0.461683009	-0.222977127	0.002802505	-0.183850825	0.012186192	0.090555494	0.70521758	0.04759087	0.777447252	0.230527038	0.062833503	0.319287328	0.009450677	0.041498142	0.85997062	0.080624444	0.674834133
YAL042W	ERV46          Protein localized to COPII-coated vesicles	0.63560047	1.38E-06	0.532426196	2.94E-05	0.801631776	1.27E-08	0.663078499	8.23E-07	-0.016940375	0.891182315	0.174146133	0.146406791	0.151821546	0.199631808	0.038367147	0.756307225	-0.103174272	0.820941117	0.166031309	0.49081372	0.027478032	0.917618189	0.191086508	0.407281729	0.16876192	0.58211454	0.055307522	0.883518169
YAL043C	PTA1          Subunit of holo-CPF	0.90072584	1.50E-11	1.067296039	1.17E-13	0.750256637	2.35E-09	0.752034976	2.84E-09	0.542823564	1.95E-06	0.616861729	1.80E-07	0.421738471	0.000111778	0.380220044	0.00041578	0.166570197	0.57943436	-0.150469204	0.471160805	-0.148690866	0.440555496	0.074038165	0.748153712	-0.121085093	0.67173518	-0.16260352	0.521553047
YAL044C	GCV3          H subunit of the mitochondrial glycine decarboxylase complex	-0.2579141	0.04760654	0.095150651	0.476893532	0.074290977	0.577220352	-0.387301827	0.00409109	-0.273299427	0.035822542	0.106287842	0.422703536	-0.028753886	0.828226397	-0.192986339	0.136117147	0.353064758	0.24140284	0.332205083	0.163274967	-0.129387721	0.613502733	0.379587268	0.097327076	0.24454554	0.42993821	0.080313087	0.836085008
YAL044W-A	BOL1          Mitochondrial matrix protein involved in Fe-S cluster biogenesis	0.03923289	0.80380345	0.270400831	0.081382769	0.545976506	0.000544298	0.139598913	0.378427182	-0.205791119	0.181877662	-0.201123704	0.200983237	0.056189653	0.723404754	-0.282676878	0.066491689	0.231167937	0.617946303	0.506743611	0.0612018	0.100366018	0.75205302	0.004667416	0.991816799	0.261980773	0.48733673	-0.076885759	0.869999796
YAL046C	BOL3          Protein involved in Fe-S cluster transfer to mitochondrial clients	-0.1028564	0.54591846	0.237034742	0.171000679	0.281998995	0.097577519	0.070846397	0.695486128	-0.87294801	4.71E-06	-0.760427544	5.82E-05	-0.852034576	9.18E-06	-1.09056064	7.78E-08	0.339891166	0.448856864	0.384855418	0.22255504	0.17370282	0.598775539	0.112520466	0.775448927	0.020913433	0.97808079	-0.21761263	0.632252154
YAL047C	SPC72          Gamma-tubulin small complex (gamma-TuSC) receptor	-0.3860363	0.05561528	-0.665399752	0.001526083	-0.309939866	0.134133241	-0.760192848	0.000371906	-0.306733691	0.128127883	-0.271499522	0.17316199	-0.124091067	0.5441151	-0.321020298	0.100243166	-0.27936342	0.658133277	0.076096466	0.878165035	-0.374156516	0.305320179	0.035234169	0.940236456	0.182642624	0.75616441	-0.014286607	0.984278041
YAL048C	"GEM1          Outer mitochondrial membrane GTPase, subunit of the ERMES complex"	0.90287748	7.41E-08	0.72858081	5.26E-06	0.648114841	4.19E-05	0.505297755	0.001010054	0.484413994	0.0013762	0.32352077	0.028232869	0.258128441	0.081454195	0.271693667	0.064116104	-0.174296669	0.717714436	-0.254762638	0.374997959	-0.397579725	0.114466039	-0.160893224	0.597329252	-0.226285553	0.54458125	-0.212720327	0.562433933
YAL049C	AIM2          Cytoplasmic protein involved in mitochondrial function or organization	0.13641567	0.1661755	0.128984792	0.196325963	0.444551462	3.11E-05	0.251767399	0.013412481	0.858189859	1.03E-11	0.639826856	2.49E-08	0.989968694	1.72E-13	0.772138993	2.18E-10	-0.007430879	0.987986421	0.308135791	0.08370738	0.115351729	0.54505128	-0.218363003	0.223533635	0.131778835	0.60861849	-0.086050866	0.7520473
YAL051W	OAF1          Oleate-activated transcription factor	0.51064427	5.41E-07	0.38830417	6.28E-05	0.284260241	0.002596712	0.362172994	0.000205158	0.553567372	9.46E-08	0.501311643	7.61E-07	0.492818622	1.10E-06	0.457327908	4.32E-06	-0.1223401	0.669936522	-0.226384029	0.17996403	-0.148471276	0.37500808	-0.052255729	0.797813676	-0.06074875	0.82714331	-0.096239464	0.691742132
YAL053W	FLC2          Putative calcium channel involved in calcium release under hypotonic s	2.2579328	8.48E-24	2.248033389	1.77E-23	2.222930048	1.87E-23	0.896419269	7.73E-11	-0.084337939	0.437243952	-0.354235798	0.001480738	-0.616084154	3.98E-07	-0.689441503	3.42E-08	-0.009899415	0.985224598	-0.035002756	0.89501944	-1.361513535	2.84E-10	-0.269897859	0.165484811	-0.531746215	0.01160259	-0.605103563	0.003381141
YAL054C	ACS1          Acetyl-coA synthetase isoform	1.43466917	1.93E-08	1.23774562	8.12E-07	1.848109829	9.70E-11	0.663364602	0.004277963	1.752216548	1.01E-10	0.776501641	0.000866943	1.845216739	6.56E-11	1.119732798	2.93E-06	-0.196923548	0.817687898	0.41344066	0.337496605	-0.771304567	0.039656045	-0.975714907	0.009170252	0.09300019	0.90070199	-0.63248375	0.167070523
YAL055W	PEX22          Putative peroxisomal membrane protein	-1.0696212	0.01323361	-1.00465881	0.028268752	-1.284041738	0.00689484	-1.608995067	0.000810803	0.665829304	0.08090603	0.96379683	0.013843371	0.725300715	0.062686126	0.827113496	0.028312024	0.064962408	0.980426885	-0.21442052	0.842630377	-0.539373849	0.529851088	0.297967527	0.724657025	0.059471411	0.96718101	0.161284192	0.894145285
YAL056W	GPB2          Multistep regulator of cAMP-PKA signaling	1.36404623	1.52E-17	1.357639078	2.37E-17	1.139787321	1.14E-14	1.017011106	5.46E-13	2.576542891	6.76E-28	2.301289941	7.88E-26	2.526840336	1.55E-27	2.419775464	7.18E-27	-0.006407152	0.989904662	-0.224258908	0.24346334	-0.347035123	0.043553094	-0.27525295	0.120312569	-0.049702555	0.87758997	-0.156767427	0.519983701
YAL058W	CNE1          Calnexin	-0.0684484	0.5688881	0.079130576	0.517963284	0.135651222	0.263808262	0.215549221	0.073593833	-0.366376713	0.002654815	-0.153349638	0.20216329	-0.28441088	0.018582019	-0.288796531	0.015927761	0.147579019	0.702310606	0.204099665	0.380162235	0.283997663	0.168504208	0.213027075	0.348312534	0.081965833	0.82239784	0.077580182	0.826946973
YAL059W	ECM1          Pre-ribosomal factor involved in 60S ribosomal protein subunit export	-2.7723771	2.76E-22	-2.73305601	9.38E-22	-2.958378033	1.23E-22	-2.186542618	1.62E-18	-3.67310939	4.29E-26	-3.198210828	2.43E-24	-3.803576312	2.81E-26	-3.576449906	1.06E-25	0.039321105	0.961146022	-0.186000918	0.55012903	0.585834497	0.016752775	0.474898562	0.080014536	-0.130466922	0.7861518	0.096659484	0.841746988
YAL060W	"BDH1          NAD-dependent (R,R)-butanediol dehydrogenase"	1.36963549	1.23E-11	0.101317801	0.530818954	1.125119217	2.38E-09	0.628526507	0.000144849	1.04367462	1.09E-08	-0.924125131	2.93E-07	1.539697648	3.24E-13	0.268899852	0.082094548	-1.268317687	6.91E-06	-0.244516271	0.426701737	-0.741108981	0.00443178	-1.967799751	1.54E-10	0.496023028	0.12577332	-0.774774768	0.009364305
YAL061W	BDH2          Putative medium-chain alcohol dehydrogenase with similarity to BDH1	5.56309257	3.18E-20	2.194287339	3.95E-06	4.35166317	4.64E-15	3.95550671	5.76E-11	1.863400579	1.32E-05	-0.330659555	0.567990925	3.417299025	1.93E-11	3.485512327	1.93E-09	-3.368805229	4.68E-05	-1.211429398	0.126436589	-1.607585858	0.087086897	-2.194060134	0.008904552	1.553898446	0.07953777	1.622111748	0.110141742
YAL062W	GDH3          NADP(+)-dependent glutamate dehydrogenase	0.67579962	0.31721168	2.107881728	0.013374437	0.600483151	0.404338249	0.954763534	0.096559163	0.528869502	0.447804654	1.453329312	0.101628322	0.807949676	0.236300526	0.031559629	0.961278735	1.432082108	0.508508346	-0.075316469	0.965816741	0.278963914	0.842121864	0.924459809	0.571675103	0.279080173	0.9062198	-0.497309874	0.783520409
YAL063C	FLO9          Lectin-like protein with similarity to Flo1p	0.36124667	0.05513845	0.88275648	5.02E-05	0.954940452	1.53E-05	0.864370036	0.000100462	0.417049854	0.02735873	1.769432185	6.67E-12	1.118343264	6.59E-07	0.80093555	0.000198522	0.521509815	0.257083484	0.593693787	0.093407418	0.503123371	0.14371334	1.352382331	4.31E-05	0.70129341	0.07771304	0.383885696	0.405690169
YAL064W	YAL064W          NA	0.17841267	0.66385234	0.128858475	0.765435031	-0.302069246	0.499577705	0.188369614	0.671533409	0.032807009	0.939925862	-0.354869797	0.400179978	-1.391206452	0.004931134	-0.109863782	0.802938234	-0.049554191	0.983113812	-0.480481912	0.582878659	0.009956949	0.991211451	-0.387676806	0.654833373	-1.424013462	0.13635834	-0.142670792	0.916394268
YAL065C	YAL065C          Putative protein of unknown function	-1.3621479	0.08457787	4.050679331	0.067444994	-4.35206527	0.051709949	1.244504296	0.324973117	-0.198445171	0.784147381	8.031388606	3.91E-07	-2.346910395	0.16381544	0.532435313	0.691556236	5.412827209	0.124739816	-2.989917391	0.344519699	2.606652174	0.148382769	8.229833776	8.10E-05	-2.148465225	0.4939575	0.730880483	0.809216922
